,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Jefferson,67575,16149,8729,7311,100%
1,Madison,25916,10487,4113,3622,100%
2,Mobile,26923,6612,4277,1585,100%
3,Montgomery,23465,4509,4178,1484,100%
4,Tuscaloosa,11825,3552,2175,1684,100%
5,Shelby,9543,3795,1415,1672,90%
6,Baldwin,7321,2475,1516,892,100%
7,Lee,7369,2609,1070,1218,100%
8,Dallas,6236,897,1070,237,100%
9,Calhoun,4855,1506,881,457,100%
10,Limestone,4127,1411,701,400,100%
11,Talladega,4617,803,917,197,100%
12,Morgan,3954,1250,917,339,100%
13,Lauderdale,3568,1547,740,470,100%
14,Etowah,3749,1048,808,258,100%
15,Houston,3912,928,432,238,100%
16,Elmore,3089,737,591,259,100%
17,Colbert,2996,783,603,181,100%
18,Russell,3221,566,634,111,100%
19,Macon,3067,481,654,166,100%
20,St. Clair,2268,835,457,283,100%
21,Autauga,2239,604,427,193,100%
22,Lowndes,2406,386,433,54,100%
23,Marengo,2120,241,882,52,100%
24,Sumter,2012,289,706,57,100%
25,Clarke,1968,258,932,43,100%
26,Wilcox,1864,284,654,62,100%
27,Marshall,1581,777,364,190,100%
28,Chambers,1835,285,569,61,100%
29,Perry,2094,178,296,69,100%
30,Tallapoosa,1762,302,438,83,100%
31,Pike,1786,433,219,105,100%
32,Hale,1327,175,950,44,100%
33,Barbour,1899,202,287,57,100%
34,Cullman,1262,633,317,173,100%
35,Coffee,1597,433,276,118,100%
36,Conecuh,1214,254,704,52,100%
37,Greene,1782,191,406,21,100%
38,Monroe,1716,205,405,38,100%
39,Walker,1390,538,260,136,100%
40,Dale,1656,401,203,86,100%
41,Choctaw,1351,216,440,30,100%
42,Bullock,1569,149,356,44,100%
43,DeKalb,1193,571,267,114,100%
44,Butler,1451,171,507,28,100%
45,Pickens,1142,196,752,29,100%
46,Escambia,1462,218,341,48,100%
47,Lawrence,1355,256,343,68,100%
48,Jackson,1039,403,267,89,100%
49,Washington,1109,156,246,37,100%
50,Chilton,858,231,168,63,100%
51,Henry,1020,167,108,22,100%
52,Covington,856,185,166,45,100%
53,Blount,654,336,147,91,100%
54,Franklin,633,222,155,38,100%
55,Randolph,522,122,326,28,100%
56,Bibb,559,138,243,34,100%
57,Crenshaw,554,70,221,17,100%
58,Coosa,574,99,156,21,100%
59,Cherokee,455,163,147,42,100%
60,Geneva,511,107,138,32,100%
61,Fayette,401,98,217,39,100%
62,Clay,486,74,94,27,100%
63,Lamar,324,159,117,11,100%
64,Marion,398,134,104,35,100%
65,Winston,266,117,75,32,100%
66,Cleburne,219,60,43,25,100%
