,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Pulaski,24535,11033,8959,6234,100%
1,Washington,6894,8440,3002,3865,100%
2,Benton,5739,5259,2813,2434,98%
3,Jefferson,5015,1493,2236,648,85%
4,Faulkner,3054,2499,1221,1293,100%
5,Saline,3122,1816,1531,834,100%
6,Garland,2886,1648,1547,676,100%
7,Sebastian,2731,1914,1486,667,100%
8,Craighead,1844,1393,873,486,100%
9,Madison,1117,844,676,290,83%
10,Lonoke,1252,794,559,295,98%
11,White,1353,647,589,275,100%
12,Crittenden,1671,495,571,144,92%
13,Pope,1070,858,490,322,100%
14,Crawford,1058,622,568,218,100%
15,Union,1349,450,355,112,100%
16,Carroll,734,721,290,306,38%
17,Baxter,955,446,398,188,67%
18,Saint Francis,1181,295,367,84,80%
19,Conway,972,359,369,124,100%
20,Ouachita,1217,295,348,67,100%
21,Mississippi,1006,320,379,100,100%
22,Clark,947,330,282,150,100%
23,Independence,796,353,338,200,100%
24,Hot Spring,735,452,344,111,100%
25,Greene,646,398,426,132,100%
26,Phillips,959,286,294,94,94%
27,Miller,1068,270,215,77,89%
28,Johnson,570,354,302,161,100%
29,Boone,676,406,265,152,100%
30,Drew,652,224,263,81,100%
31,Chicot,711,197,266,45,67%
32,Desha,640,173,227,45,100%
33,Cleburne,555,178,277,85,44%
34,Ashley,633,252,133,62,94%
35,Columbia,610,175,187,50,100%
36,Van Buren,418,198,217,120,100%
37,Lawrence,391,187,209,78,100%
38,Bradley,380,116,124,44,75%
39,Logan,415,163,260,76,100%
40,Randolph,333,225,246,72,100%
41,Stone,343,246,158,112,90%
42,Jackson,466,163,193,57,100%
43,Sharp,417,193,188,63,89%
44,Hempstead,548,128,149,42,100%
45,Franklin,355,147,246,72,100%
46,Grant,353,171,191,85,100%
47,Monroe,436,160,141,45,35%
48,Yell,341,166,161,88,100%
49,Arkansas,450,125,158,81,93%
50,Cross,429,149,161,44,95%
51,Marion,327,206,148,72,100%
52,Polk,270,206,157,74,100%
53,Poinsett,391,167,154,49,100%
54,Fulton,331,154,160,56,77%
55,Perry,269,164,182,71,100%
56,Izard,356,143,120,64,86%
57,Lee,420,112,142,12,82%
58,Lincoln,370,119,106,20,46%
59,Little River,379,97,94,36,100%
60,Woodruff,302,120,119,57,92%
61,Howard,354,103,81,37,91%
62,Clay,262,115,179,35,100%
63,Dallas,350,58,108,18,100%
64,Prairie,286,94,96,30,89%
65,Nevada,299,90,77,34,100%
66,Sevier,255,105,94,32,100%
67,Montgomery,226,83,85,36,100%
68,Newton,184,137,61,53,95%
69,Pike,190,73,68,42,100%
70,Cleveland,185,66,70,17,100%
71,Lafayette,237,37,40,8,93%
72,Searcy,121,82,52,45,88%
73,Calhoun,141,52,66,13,71%
74,Scott,124,46,56,12,81%
