,County,Sanders,Biden,Bloomberg,Warren,Rpt.
0,Denver,54694,31203,25614,30877,48%
1,Jefferson,42518,29099,23479,21283,100%
2,Arapahoe,33536,24313,20609,14948,100%
3,Boulder,28009,17168,13074,18468,55%
4,El Paso,26119,19196,13519,11567,100%
5,Larimer,26478,15595,10315,13595,100%
6,Adams,26928,14477,12306,8438,100%
7,Douglas,12934,13702,11009,6961,100%
8,Weld,11650,7232,5885,4234,100%
9,Pueblo,7028,6865,6148,2358,89%
10,Broomfield,5420,4105,2972,3000,100%
11,Mesa,5093,4431,3067,2495,100%
12,La Plata,4337,2622,1573,2032,100%
13,Eagle,2942,2416,2261,1233,100%
14,Garfield,2317,1402,1299,1037,100%
15,Summit,2230,1619,1144,943,100%
16,Routt,1817,1473,1204,871,100%
17,Pitkin,1430,1298,1434,572,100%
18,Chaffee,1494,1037,792,760,100%
19,Fremont,1194,1065,1022,548,73%
20,Montrose,1169,1140,861,533,100%
21,Gunnison,1858,718,529,635,<1%
22,Delta,1346,772,647,522,100%
23,Montezuma,1218,696,422,463,100%
24,Teller,903,724,469,454,92%
25,Park,974,554,379,414,75%
26,Grand,839,544,470,352,100%
27,San Miguel,1015,447,347,352,<1%
28,Las Animas,687,638,534,225,6%
29,Elbert,608,583,547,296,100%
30,Alamosa,919,462,343,326,13%
31,Otero,657,525,517,177,10%
32,Clear Creek,709,469,377,323,100%
33,Archuleta,639,457,370,320,13%
34,Morgan,549,455,478,203,100%
35,Huerfano,477,308,290,190,100%
36,Ouray,499,343,197,249,100%
37,Lake,599,286,173,220,100%
38,Logan,381,319,342,153,88%
39,Rio Grande,478,289,317,160,<1%
40,Conejos,472,384,275,78,<1%
41,Gilpin,573,227,182,236,100%
42,Saguache,601,177,167,169,100%
43,Costilla,313,197,156,82,63%
44,Prowers,222,196,186,84,<1%
45,Moffat,201,143,90,81,10%
46,Custer,134,148,111,106,100%
47,Yuma,105,124,127,55,93%
48,Bent,151,105,126,35,100%
49,Kit Carson,108,92,104,36,<1%
50,Crowley,69,80,78,28,<1%
51,Rio Blanco,80,71,58,49,100%
52,Phillips,69,73,70,26,100%
53,Lincoln,74,60,50,47,100%
54,Baca,60,67,38,28,89%
55,Mineral,60,48,36,44,100%
56,San Juan,86,34,31,38,<1%
57,Sedgwick,57,40,40,25,100%
58,Washington,62,39,35,27,<1%
59,Dolores,71,38,23,28,25%
60,Hinsdale,36,25,26,19,<1%
61,Jackson,26,32,8,14,100%
62,Cheyenne,13,21,26,8,80%
63,Kiowa,16,23,18,5,25%
