,County,Biden,Sanders,Bloomberg,Rpt.
0,Broward,122405,35909,14607,100%
1,Miami-Dade,94744,34789,17326,100%
2,Palm Beach,104191,23781,14218,100%
3,Hillsborough,67740,32686,11662,100%
4,Orange,64853,36674,5620,100%
5,Pinellas,61255,27940,10967,100%
6,Duval,56231,19938,4468,100%
7,Brevard,32974,13177,4407,100%
8,Sarasota,31562,9513,5521,100%
9,Lee,28168,9749,6544,100%
10,Leon,28893,13620,1667,100%
11,Volusia,26084,9798,4694,100%
12,Polk,27103,10070,3861,100%
13,Seminole,23565,13151,1972,100%
14,Pasco,22185,9734,3797,100%
15,Alachua,19045,14869,841,100%
16,Manatee,20947,6391,3477,100%
17,St. Lucie,18791,5086,2286,100%
18,Marion,18367,4627,2423,100%
19,Lake,18561,5586,1283,100%
20,Osceola,13484,7678,3439,100%
21,Escambia,17019,5443,1198,100%
22,Collier,15557,3747,2524,100%
23,St. Johns,14321,5231,1307,100%
24,Charlotte,9076,2564,1804,100%
25,Hernando,8237,3196,1923,100%
26,Indian River,9077,2325,1329,100%
27,Sumter,9360,1229,1613,100%
28,Martin,8160,2361,1322,100%
29,Citrus,6947,2130,1292,100%
30,Clay,6706,2785,648,100%
31,Flagler,7508,1916,879,100%
32,Okaloosa,5561,2427,321,100%
33,Monroe,5197,1980,674,100%
34,Gadsden,6445,875,382,100%
35,Santa Rosa,4775,2169,372,100%
36,Bay,5182,1771,265,100%
37,Nassau,3806,1073,436,100%
38,Highlands,3563,921,646,100%
39,Putnam,2762,868,244,100%
40,Columbia,2289,655,255,100%
41,Jackson,2436,461,144,100%
42,Walton,1937,652,98,100%
43,Wakulla,1741,548,91,100%
44,Levy,1496,515,159,100%
45,Suwannee,1291,379,145,100%
46,Jefferson,1551,276,98,100%
47,Madison,1467,234,109,100%
48,Okeechobee,1033,274,126,100%
49,Bradford,952,250,153,100%
50,Hendry,951,286,102,100%
51,Taylor,855,197,154,100%
52,DeSoto,862,239,85,100%
53,Franklin,764,214,50,100%
54,Washington,773,188,29,100%
55,Hamilton,677,123,37,100%
56,Gulf,665,125,33,100%
57,Baker,593,150,50,100%
58,Hardee,493,142,35,100%
59,Gilchrist,414,149,30,100%
60,Calhoun,389,107,34,100%
61,Glades,383,99,37,100%
62,Dixie,338,104,40,100%
63,Holmes,263,116,30,100%
64,Union,308,120,22,100%
65,Liberty,306,68,17,100%
66,Lafayette,173,58,24,100%
