,County,Biden,Sanders,Bloomberg,Rpt.
0,Cook,487679,323599,12051,100%
1,DuPage,66651,37511,1143,100%
2,Lake,53633,24074,1667,100%
3,Will,46601,27714,1188,100%
4,Kane,29165,18416,658,100%
5,McHenry,18426,11033,425,100%
6,St. Clair,19680,7426,887,100%
7,Winnebago,14848,9832,440,100%
8,Madison,15587,8583,386,100%
9,Champaign,11164,11877,273,100%
10,McLean,9779,7550,307,100%
11,Peoria,11492,5779,393,100%
12,Sangamon,11206,5777,277,100%
13,Rock Island,9545,4809,156,100%
14,Kendall,8214,5342,165,100%
15,DeKalb,5441,4692,143,100%
16,LaSalle,6213,3230,212,100%
17,Tazewell,6169,3176,182,99%
18,Kankakee,5417,3125,169,100%
19,Macon,4916,2265,161,100%
20,Jackson,3246,2757,94,100%
21,Whiteside,2997,1428,39,100%
22,Knox,2708,1445,63,100%
23,Vermilion,2855,1186,126,100%
24,Boone,2326,1790,71,100%
25,Williamson,2667,1412,49,100%
26,Grundy,2286,1450,106,100%
27,Ogle,2274,1468,62,100%
28,Macoupin,2428,1043,133,100%
29,Stephenson,2431,1096,66,100%
30,Adams,2415,928,56,100%
31,Henry,2400,937,22,100%
32,Fulton,2139,1046,57,100%
33,Coles,1876,1187,79,100%
34,Bureau,1744,778,28,100%
35,Marion,1643,699,79,100%
36,Franklin,1625,742,61,100%
37,JoDaviess,1753,631,18,100%
38,Woodford,1620,740,30,100%
39,Lee,1459,857,43,100%
40,Monroe,1555,778,50,100%
41,McDonough,1281,711,24,100%
42,Jefferson,1423,570,26,100%
43,Christian,1244,541,54,100%
44,Morgan,1153,602,35,100%
45,Livingston,1134,526,26,100%
46,Randolph,1195,417,41,100%
47,Montgomery,1147,418,57,100%
48,Effingham,1065,453,46,100%
49,Clinton,948,452,36,100%
50,Jersey,907,391,27,100%
51,Union,823,439,23,100%
52,Mercer,911,362,8,100%
53,Saline,831,395,40,100%
54,Perry,909,327,26,100%
55,Shelby,895,294,37,100%
56,Piatt,800,408,20,100%
57,Logan,731,427,28,100%
58,Hancock,887,243,16,100%
59,Warren,800,327,13,100%
60,Mason,785,274,32,100%
61,Iroquois,693,376,16,100%
62,Bond,721,330,24,100%
63,Carroll,689,270,18,100%
64,Clark,631,301,34,100%
65,Crawford,650,282,20,100%
66,DeWitt,600,270,19,100%
67,Greene,536,186,48,100%
68,Douglas,521,246,20,100%
69,Fayette,556,194,13,100%
70,Edgar,526,214,26,100%
71,Pike,547,167,13,100%
72,Moultrie,516,207,25,100%
73,Richland,483,237,12,100%
74,Menard,519,193,8,100%
75,Marshall,483,199,16,100%
76,Cass,464,196,26,100%
77,Lawrence,481,182,16,100%
78,Massac,461,226,5,100%
79,Washington,393,195,17,100%
80,Ford,359,236,10,100%
81,Putnam,425,138,10,100%
82,Hamilton,421,122,19,100%
83,Henderson,406,136,11,100%
84,White,413,138,9,100%
85,Gallatin,366,147,13,100%
86,Wayne,332,203,10,100%
87,Johnson,358,157,13,100%
88,Cumberland,355,156,13,100%
89,Wabash,335,129,9,100%
90,Jasper,316,120,13,100%
91,Clay,316,134,10,100%
92,Schuyler,328,112,8,100%
93,Pulaski,274,86,6,100%
94,Calhoun,260,71,11,100%
95,Stark,206,99,9,100%
96,Hardin,145,86,4,100%
97,Pope,135,71,6,100%
98,Edwards,139,63,11,100%
99,Brown,153,44,3,100%
100,Scott,117,58,5,100%
101,Alexander,0,0,0,0%
