state,Biden,Bloomberg,County,Rpt.,Sanders
IL,487679,12051,Cook,100%,323599
IL,66651,1143,DuPage,100%,37511
IL,53633,1667,Lake,100%,24074
IL,46601,1188,Will,100%,27714
IL,29165,658,Kane,100%,18416
IL,18426,425,McHenry,100%,11033
IL,19680,887,St. Clair,100%,7426
IL,14848,440,Winnebago,100%,9832
IL,15587,386,Madison,100%,8583
IL,11164,273,Champaign,100%,11877
IL,9779,307,McLean,100%,7550
IL,11492,393,Peoria,100%,5779
IL,11206,277,Sangamon,100%,5777
IL,9545,156,Rock Island,100%,4809
IL,8214,165,Kendall,100%,5342
IL,5441,143,DeKalb,100%,4692
IL,6213,212,LaSalle,100%,3230
IL,6169,182,Tazewell,99%,3176
IL,5417,169,Kankakee,100%,3125
IL,4916,161,Macon,100%,2265
IL,3246,94,Jackson,100%,2757
IL,2997,39,Whiteside,100%,1428
IL,2708,63,Knox,100%,1445
IL,2855,126,Vermilion,100%,1186
IL,2326,71,Boone,100%,1790
IL,2667,49,Williamson,100%,1412
IL,2286,106,Grundy,100%,1450
IL,2274,62,Ogle,100%,1468
IL,2428,133,Macoupin,100%,1043
IL,2431,66,Stephenson,100%,1096
IL,2415,56,Adams,100%,928
IL,2400,22,Henry,100%,937
IL,2139,57,Fulton,100%,1046
IL,1876,79,Coles,100%,1187
IL,1744,28,Bureau,100%,778
IL,1643,79,Marion,100%,699
IL,1625,61,Franklin,100%,742
IL,1753,18,JoDaviess,100%,631
IL,1620,30,Woodford,100%,740
IL,1459,43,Lee,100%,857
IL,1555,50,Monroe,100%,778
IL,1281,24,McDonough,100%,711
IL,1423,26,Jefferson,100%,570
IL,1244,54,Christian,100%,541
IL,1153,35,Morgan,100%,602
IL,1134,26,Livingston,100%,526
IL,1195,41,Randolph,100%,417
IL,1147,57,Montgomery,100%,418
IL,1065,46,Effingham,100%,453
IL,948,36,Clinton,100%,452
IL,907,27,Jersey,100%,391
IL,823,23,Union,100%,439
IL,911,8,Mercer,100%,362
IL,831,40,Saline,100%,395
IL,909,26,Perry,100%,327
IL,895,37,Shelby,100%,294
IL,800,20,Piatt,100%,408
IL,731,28,Logan,100%,427
IL,887,16,Hancock,100%,243
IL,800,13,Warren,100%,327
IL,785,32,Mason,100%,274
IL,693,16,Iroquois,100%,376
IL,721,24,Bond,100%,330
IL,689,18,Carroll,100%,270
IL,631,34,Clark,100%,301
IL,650,20,Crawford,100%,282
IL,600,19,DeWitt,100%,270
IL,536,48,Greene,100%,186
IL,521,20,Douglas,100%,246
IL,556,13,Fayette,100%,194
IL,526,26,Edgar,100%,214
IL,547,13,Pike,100%,167
IL,516,25,Moultrie,100%,207
IL,483,12,Richland,100%,237
IL,519,8,Menard,100%,193
IL,483,16,Marshall,100%,199
IL,464,26,Cass,100%,196
IL,481,16,Lawrence,100%,182
IL,461,5,Massac,100%,226
IL,393,17,Washington,100%,195
IL,359,10,Ford,100%,236
