,Town,Biden,Sanders,Warren,Bloomberg,Rpt.
0,Boston,43210,43154,39188,11878,100%
1,Cambridge,7362,10180,15198,2133,100%
2,Newton,10510,4994,8441,4734,100%
3,Somerville,4325,9847,11060,1082,100%
4,Worcester,8215,8837,4388,2470,100%
5,Brookline,5691,3606,6523,2092,100%
6,Arlington,4799,3913,7101,1404,100%
7,Quincy,5848,5236,3494,2005,100%
8,Springfield,6631,5711,2181,1824,89%
9,Medford,4077,4681,4473,1877,100%
10,Framingham,5012,3292,3312,1757,100%
11,Concord,5018,2168,4258,1862,100%
12,Lowell,3929,4988,2291,1469,100%
13,Waltham,3840,3558,3487,1274,100%
14,Plymouth,5005,2987,1826,1705,100%
15,Northampton,2554,4283,4394,669,100%
16,Weymouth,4553,3161,1929,1517,100%
17,Brockton,4871,3434,1421,1098,100%
18,Salem,3008,4036,2781,1039,100%
19,Lynn,3782,4102,1580,1187,100%
20,Lexington,3706,1715,3263,1588,100%
21,New Bedford,3690,3781,1317,1329,83%
22,Watertown,2871,3030,3569,802,100%
23,Haverhill,3573,3516,1571,1152,100%
24,Natick,3759,2002,2632,1276,100%
25,Needham,4115,1288,2390,1850,100%
26,Beverly,3375,2778,2322,1223,100%
27,Malden,2801,3704,2297,876,100%
28,Peabody,3954,2319,1188,1589,100%
29,Barnstable,3876,2203,1399,1372,100%
30,Melrose,3105,1933,2496,1094,100%
31,Falmouth,3503,1875,1658,1243,100%
32,Belmont,2681,1805,2856,1043,100%
33,Fall River,3388,2630,914,1289,100%
34,Hull,3388,2630,914,1283,100%
35,Milton,3491,1545,1937,1205,100%
36,Andover,3036,1752,1910,1315,91%
37,Chelmsford,2871,2044,1664,1127,100%
38,Pittsfield,3483,2428,1393,775,100%
39,Braintree,3143,2056,1203,1116,100%
40,Woburn,2845,2151,1499,1027,100%
41,Amherst,1587,3222,2659,364,100%
42,Wellesley,3243,905,1707,1668,100%
43,Billerica,2655,2217,1122,972,100%
44,Norwood,2576,1623,1277,848,100%
45,Gloucester,2457,2037,1535,903,100%
46,Marlborough,2405,1964,1369,910,100%
47,Methuen,2398,2280,917,894,100%
48,Taunton,2731,2215,814,886,100%
49,Dedham,2555,1589,1514,931,100%
50,Chicopee,2706,2313,752,968,100%
51,Franklin,2631,1546,1263,939,100%
52,Lawrence,1391,3001,1044,925,100%
53,Acton,2149,1332,1996,823,100%
54,Winchester,2404,1087,1555,1179,100%
55,Marblehead,2657,1097,1341,1245,100%
56,Revere,1998,2390,951,828,100%
57,Randolph,2694,1614,765,492,100%
58,Wakefield,2286,1400,1363,932,100%
59,Attleboro,2189,2033,989,822,100%
60,Westford,2266,1426,1310,850,100%
61,Newburyport,2302,1267,1342,843,100%
62,Leominster,2264,1806,872,745,100%
63,North Andover,2231,1403,1127,826,100%
64,Holyoke,1653,2359,1092,680,100%
65,Marshfield,2190,1303,858,979,100%
66,Tewksbury,2119,1423,776,840,100%
67,Sudbury,2391,881,1359,865,100%
68,Danvers,1993,1431,842,859,100%
69,Walpole,2042,1136,997,889,100%
70,Canton,2183,1091,993,846,100%
71,Sharon,2037,1046,1188,882,<1%
72,Stoughton,2169,1376,858,703,100%
73,Stoneham,2000,1256,991,736,100%
74,Burlington,1804,1285,930,741,100%
75,Yarmouth,2256,1105,761,819,100%
76,Scituate,2088,1065,866,877,100%
77,Westfield,1891,1603,709,632,100%
78,Dracut,1719,1513,537,686,100%
79,Easthampton,1102,2019,1439,361,100%
80,Everett,1521,1948,739,511,100%
81,Wilmington,1773,1176,817,690,100%
82,Fitchburg,1609,1668,674,581,100%
83,Dartmouth,1938,1374,639,689,100%
84,Easton,1951,1079,794,611,100%
85,Greenfield,1023,2108,1119,283,100%
86,North Attleborough,1777,1322,741,571,100%
87,Sandwich,1868,1140,720,555,100%
88,Milford,1619,1239,688,611,100%
89,Saugus,1723,1231,580,666,100%
90,Hudson,1538,1181,846,514,100%
91,Westwood,1811,702,875,782,100%
92,Swampscott,1569,885,949,703,100%
93,Holden,1623,1174,776,480,20%
94,Amesbury,1355,1251,831,434,100%
95,South Hadley,1374,1190,943,462,100%
96,Westborough,1463,1008,902,519,100%
97,Bridgewater,1521,1184,633,526,100%
98,Ashland,1441,888,888,532,100%
99,Holliston,1449,878,920,503,100%
100,Bedford,1313,734,1088,563,100%
101,Agawam,1497,1113,511,588,100%
102,Hopkinton,1491,747,874,561,100%
103,Dennis,1520,794,584,661,100%
104,Winthrop,1370,1039,664,512,100%
105,Ipswich,1286,906,892,483,100%
106,Bourne,1528,811,580,580,100%
107,Chelsea,843,1650,699,436,100%
108,Longmeadow,1450,729,690,635,100%
109,Northborough,1386,877,749,474,100%
110,Grafton,1367,1058,663,410,100%
111,Foxborough,1469,861,607,518,100%
112,Pembroke,1410,934,512,486,100%
113,Middleborough,1308,1034,532,451,100%
114,Medfield,1493,566,644,602,100%
115,Wareham,1307,987,498,414,100%
116,Harwich,1264,750,571,502,100%
117,West Springfield,1266,1074,435,415,100%
118,Mashpee,1269,676,468,583,100%
119,North Reading,1274,733,559,468,100%
120,Maynard,957,881,1075,251,100%
121,Belchertown,997,1008,787,256,100%
122,Rockland,1212,925,364,412,100%
123,Groton,1075,678,760,378,100%
124,Weston,1288,298,556,793,100%
125,Brewster,1037,764,606,455,100%
126,Somerset,1239,747,411,440,100%
127,Auburn,1213,800,429,381,100%
128,Hanover,1201,575,460,503,100%
129,Ludlow,1099,863,324,415,100%
130,Gardner,1038,930,333,366,100%
131,Westport,1148,726,419,444,100%
132,Abington,996,741,435,375,100%
133,East Longmeadow,1136,666,405,369,100%
134,Littleton,936,683,700,294,100%
135,Wilbraham,1039,597,432,402,100%
136,Southborough,1005,540,550,367,100%
137,Whitman,994,752,350,284,100%
138,Kingston,1032,704,350,350,100%
139,Rockport,952,595,547,355,100%
140,Nantucket,1052,622,384,373,100%
141,Norwell,1072,453,431,402,100%
142,Clinton,863,761,390,304,100%
143,Lincoln,828,394,711,387,100%
144,Wayland,1017,310,585,430,50%
145,Pepperell,810,722,461,260,100%
146,Lynnfield,938,404,413,441,100%
147,Tyngsborough,965,587,330,283,100%
148,Montague,509,1076,472,145,100%
149,East Bridgewater,787,652,347,265,100%
