,Town,Biden,Sanders,Warren,Bloomberg,Rpt.
0,Portland,4742,8375,4647,1314,100%
1,South Portland,1924,2277,1277,583,100%
2,Brunswick,1750,1537,1335,570,100%
3,Scarborough,1546,1035,637,636,100%
4,Lewiston,1396,1339,563,613,100%
5,Bangor,1151,1446,676,428,100%
6,Biddeford,1103,1290,344,543,100%
7,Saco,1178,1111,459,484,100%
8,Falmouth,1246,675,519,454,100%
9,Cape Elizabeth,1117,713,559,419,100%
10,York,1110,782,429,392,100%
11,Gorham,956,1002,436,269,100%
12,Auburn,900,800,344,396,100%
13,Kennebunk,975,660,390,383,100%
14,Yarmouth,1040,542,491,307,100%
15,Westbrook,733,1058,427,235,100%
16,Waterville,738,783,482,226,100%
17,Freeport,798,673,450,261,100%
18,Kittery,776,730,437,198,100%
19,Augusta,789,731,297,328,100%
20,Windham,753,827,258,260,100%
21,Sanford,763,716,220,293,100%
22,Orono,441,1117,369,114,100%
23,Cumberland,769,442,356,285,100%
24,Topsham,663,502,353,256,100%
25,Wells,787,470,238,223,100%
26,Bath,555,653,366,196,100%
27,Camden,585,467,401,191,100%
28,Old Orchrd Bch,604,452,225,294,100%
29,Millinocket,570,354,161,302,100%
30,Belfast,495,571,335,166,100%
31,Eliot,544,474,210,142,100%
32,Bar Harbor,339,627,315,99,100%
33,South Berwick,474,501,277,107,100%
34,Rockland,358,504,252,107,100%
35,Harpswell,476,287,184,226,100%
36,Brewer,381,316,129,147,100%
37,Old Town,333,426,133,107,100%
38,Standish,345,358,125,141,100%
39,Buxton,376,356,135,108,100%
40,Gray,331,363,154,96,100%
41,Farmington,243,517,152,75,100%
42,Ellsworth,324,359,161,114,100%
43,Hampden,426,260,161,104,100%
44,Winslow,385,223,103,187,100%
45,North Yarmouth,356,280,182,92,100%
46,Rockport,307,252,185,124,100%
47,Berwick,332,377,94,46,100%
48,Winthrop,331,287,92,118,100%
49,Kennebunkport,365,194,144,126,100%
50,Gardiner,310,315,118,96,100%
51,Lisbon,299,267,96,125,100%
52,Hallowell,250,256,183,80,100%
53,Skowhegan,304,220,46,135,100%
54,Blue Hill,224,231,163,80,100%
55,New Gloucester,251,251,117,75,100%
56,Waterboro,201,289,77,91,100%
57,Bridgton,258,239,85,94,100%
58,Raymond,249,229,86,89,100%
59,Poland,266,193,70,100,100%
60,Arundel,267,195,92,85,100%
61,North Berwick,224,250,79,68,100%
62,Waldoboro,204,231,105,54,100%
63,Norway,217,225,80,69,100%
