,County,Biden,Sanders,Warren,Bloomberg,Rpt.
0,Hennepin,92107,88560,51339,19072,100%
1,Ramsey,34706,34498,21971,6928,99%
2,Dakota,24782,15504,7472,5128,100%
3,Anoka,15176,11280,4156,3303,100%
4,Washington,16269,8827,4251,3297,100%
5,St. Louis,14008,10147,3740,3412,100%
6,Olmsted,8524,5462,2748,1382,100%
7,Scott,5821,3544,1493,1204,100%
8,Stearns,4205,3355,1271,998,100%
9,Carver,5165,2417,1386,1044,100%
10,Wright,4294,2053,880,933,100%
11,Rice,3212,2853,1484,571,100%
12,Blue Earth,2417,2766,826,553,100%
13,Sherburne,2794,1641,583,625,100%
14,Clay,2279,1772,765,360,100%
15,Winona,2221,1916,773,523,100%
16,Itasca,1988,1001,340,667,97%
17,Crow Wing,2325,1139,438,576,97%
18,Carlton,2057,1134,329,516,100%
19,Goodhue,2178,960,492,509,100%
20,Beltrami,1450,1720,407,362,100%
21,Nicollet,1554,1331,638,387,100%
22,Chisago,2030,973,436,474,100%
23,Otter Tail,2166,801,404,388,100%
24,Mower,1499,781,200,370,100%
25,Kandiyohi,1496,589,236,371,100%
26,Douglas,1445,468,245,340,100%
27,Freeborn,1315,656,143,255,100%
28,Steele,1142,671,257,310,100%
29,Cass,903,615,165,371,100%
30,Isanti,1217,595,195,292,100%
31,Benton,982,817,244,221,100%
32,Becker,1120,440,188,187,100%
33,Pine,908,468,178,277,100%
34,Brown,706,409,171,296,100%
35,Polk,796,400,144,171,100%
36,Houston,964,506,196,189,100%
37,Le Sueur,735,345,142,255,96%
38,McLeod,864,482,156,237,100%
39,Lake,812,459,184,211,100%
40,Hubbard,788,421,149,209,100%
41,Fillmore,786,344,162,166,100%
42,Wabasha,841,350,146,207,100%
43,Morrison,706,318,109,204,100%
44,Lyon,616,388,150,162,100%
45,Cook,333,376,271,119,100%
46,Aitkin,510,260,84,228,100%
47,Mille Lacs,653,413,110,196,100%
48,Dodge,685,301,128,109,52%
49,Meeker,537,221,90,164,100%
50,Koochiching,535,212,67,201,100%
51,Waseca,616,282,106,115,100%
52,Todd,605,239,92,116,100%
53,Stevens,227,370,151,69,100%
54,Kanabec,513,228,82,106,100%
55,Nobles,344,253,51,107,100%
56,Martin,450,177,95,104,100%
57,Pope,430,130,47,109,100%
58,Faribault,399,148,60,129,100%
59,Chippewa,319,149,57,86,100%
60,Swift,302,117,47,113,100%
61,Sibley,328,135,59,119,100%
62,Watonwan,251,141,58,114,100%
63,Pennington,364,193,47,47,100%
64,Renville,370,156,52,104,100%
65,Roseau,270,105,47,80,100%
66,Wadena,328,169,51,60,96%
67,Redwood,344,163,55,55,100%
68,Lac Qui Parle,221,75,29,71,100%
69,Jackson,282,107,36,74,100%
70,Grant,115,80,28,89,100%
71,Marshall,166,74,24,69,100%
72,Norman,183,102,42,59,100%
73,Murray,270,89,31,58,100%
74,Rock,223,102,40,42,100%
75,Yellow Medicine,266,111,32,51,100%
76,Cottonwood,275,107,52,73,100%
77,Kittson,158,50,28,39,100%
78,Clearwater,255,129,22,33,100%
79,Pipestone,207,82,26,55,100%
80,Big Stone,123,56,29,58,100%
81,Mahnomen,105,124,11,53,100%
82,Wilkin,130,55,21,45,100%
83,Lake of the Woods,99,42,9,36,100%
84,Lincoln,209,47,15,24,100%
85,Traverse,110,38,8,31,100%
86,Red Lake,70,35,16,15,100%
