,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Wake,78225,49980,23361,27511,100%
1,Mecklenburg,72323,39269,22227,16426,100%
2,Guilford,37288,21196,10246,7419,100%
3,Durham,29324,21759,7439,16408,100%
4,Buncombe,15433,23227,4901,10582,100%
5,Forsyth,23689,14114,7739,5236,100%
6,Orange,12956,12602,4537,10199,100%
7,Cumberland,19482,7334,4801,1905,100%
8,New Hanover,12220,9002,5128,3492,100%
9,Pitt,10211,5000,2619,1537,100%
10,Cabarrus,10585,5285,2335,1656,100%
11,Union,9053,4534,3056,1748,100%
12,Johnston,8031,4314,2438,1484,100%
13,Alamance,7654,4346,2296,1630,100%
14,Brunswick,7745,2572,3538,1076,100%
15,Chatham,6408,3382,2788,2375,100%
16,Gaston,7874,3992,2146,1190,100%
17,Iredell,6210,3383,2496,1164,100%
18,Henderson,5678,3709,1581,1633,100%
19,Robeson,6361,2366,1376,534,100%
20,Nash,6506,2116,1998,474,100%
21,Wayne,5752,2329,1668,490,100%
22,Catawba,4596,2745,1731,863,100%
23,Craven,5085,1737,1887,562,100%
24,Rowan,4776,2379,1501,655,100%
25,Moore,4860,1595,1824,777,100%
26,Davidson,4367,2194,1482,559,100%
27,Wilson,5052,1927,1545,409,100%
28,Watauga,2236,4516,704,1303,100%
29,Onslow,4918,1982,1165,599,100%
30,Harnett,4281,1895,1149,536,100%
31,Haywood,3444,1940,846,767,100%
32,Franklin,3728,1578,1217,496,100%
33,Cleveland,4185,1392,1247,420,100%
34,Halifax,4830,1127,882,255,100%
35,Rockingham,3545,1491,1547,353,100%
36,Granville,3457,1578,1056,470,100%
37,Edgecombe,3973,1035,1193,250,100%
38,Burke,3007,1483,1033,473,100%
39,Carteret,2948,1237,1231,497,100%
40,Randolph,2778,1721,1077,496,100%
41,Lenoir,3528,1200,1024,225,100%
42,Lincoln,2883,1231,1037,371,100%
43,Jackson,1846,1844,472,676,100%
44,Vance,3340,793,764,217,100%
45,Lee,2510,1228,955,329,100%
46,Pender,2495,1177,859,391,100%
47,Dare,2167,1267,779,507,100%
48,Beaufort,2752,770,876,267,100%
49,Transylvania,1879,1276,549,685,100%
50,Hoke,2795,1111,647,214,100%
51,Sampson,2829,861,817,213,100%
52,Richmond,2639,692,691,174,100%
53,Columbus,2555,826,522,196,100%
54,Surry,1941,1003,822,302,100%
55,Warren,2258,598,557,158,100%
56,Rutherford,2145,1137,400,273,100%
57,Person,2320,773,654,291,100%
58,Northampton,2650,494,504,126,100%
59,Duplin,2477,672,685,133,100%
60,Caldwell,1849,1036,680,297,100%
61,Pasquotank,2393,649,626,182,100%
62,Bladen,2488,578,511,136,100%
63,Wilkes,1780,868,632,246,100%
64,Hertford,2373,432,534,102,100%
65,Madison,1062,1277,312,478,100%
66,Scotland,2068,525,325,153,100%
67,Stanly,1757,719,532,220,100%
68,Macon,1437,735,454,300,100%
69,Martin,2127,437,399,130,100%
70,McDowell,1316,870,306,280,100%
71,Anson,2070,427,364,87,100%
72,Bertie,1794,508,459,74,100%
73,Davie,1266,697,550,236,100%
74,Caswell,1469,566,476,142,100%
75,Stokes,1211,671,533,174,100%
76,Montgomery,1310,412,373,119,100%
77,Polk,1063,519,297,281,100%
78,Yancey,842,699,206,314,100%
79,Ashe,964,528,373,229,100%
80,Alexander,931,431,430,134,100%
81,Greene,1093,417,314,82,100%
82,Currituck,952,419,274,170,100%
83,Washington,1078,291,268,56,100%
84,Cherokee,823,441,246,139,100%
85,Yadkin,779,451,300,118,100%
86,Pamlico,933,212,272,81,100%
87,Swain,552,468,160,111,100%
88,Chowan,827,180,273,78,100%
89,Gates,748,219,224,71,100%
90,Jones,815,180,181,27,100%
91,Perquimans,591,174,259,58,100%
92,Alleghany,357,207,241,52,100%
93,Avery,450,263,126,82,100%
94,Clay,415,200,130,92,100%
95,Mitchell,266,322,72,124,100%
96,Hyde,379,127,86,83,100%
97,Camden,403,116,125,53,100%
98,Graham,247,97,69,33,100%
99,Tyrrell,217,88,97,21,100%
