,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Oklahoma,31381,21113,8442,11420,100%
1,Tulsa,21070,17195,8064,8062,99%
2,Cleveland,9993,9604,2868,5215,100%
3,Canadian,3459,2487,1120,1320,100%
4,Comanche,2996,1598,843,551,100%
5,Payne,2240,1786,743,1215,100%
6,Rogers,2168,1361,1069,739,100%
7,Muskogee,2461,1104,1126,540,100%
8,Wagoner,1997,1161,895,524,100%
9,Pottawatomie,1885,1021,786,607,77%
10,Creek,1737,981,890,499,100%
11,Cherokee,1469,1188,657,446,100%
12,Osage,1817,821,704,409,100%
13,Pittsburg,1341,699,596,355,100%
14,Washington,1385,711,519,415,100%
15,Grady,1229,625,474,423,100%
16,Mayes,1155,576,590,338,100%
17,LeFlore,1168,559,433,260,100%
18,Okmulgee,1254,506,648,233,92%
19,Garfield,1215,638,505,385,100%
20,Logan,1230,644,389,405,100%
21,Pontotoc,1113,734,381,301,100%
22,Carter,1161,506,499,241,100%
23,McClain,1048,533,404,366,100%
24,Sequoyah,1023,431,455,211,100%
25,Kay,1071,504,392,321,100%
26,Delaware,1110,377,492,209,100%
27,Bryan,901,554,389,233,100%
28,Stephens,977,430,353,256,100%
29,Lincoln,842,401,378,263,100%
30,Caddo,777,434,367,202,100%
31,Ottawa,944,411,276,180,100%
32,McIntosh,696,308,357,176,100%
33,Garvin,635,289,292,198,100%
34,Seminole,685,310,275,183,100%
35,McCurtain,657,281,192,141,100%
36,Custer,571,392,236,207,100%
37,Craig,458,208,202,131,100%
38,Pawnee,419,240,222,130,100%
39,Murray,439,181,173,102,100%
40,Adair,422,233,181,99,100%
41,Hughes,361,159,200,122,100%
42,Beckham,315,163,144,115,100%
43,Haskell,354,133,157,65,100%
44,Marshall,332,141,184,85,100%
45,Latimer,305,133,142,84,100%
46,Choctaw,323,148,129,82,100%
47,Jackson,395,176,106,71,100%
48,Atoka,271,117,148,70,100%
49,Pushmataha,253,119,145,87,100%
50,Okfuskee,277,120,140,93,100%
51,Woodward,269,164,115,110,100%
52,Noble,246,131,136,105,100%
53,Johnston,265,113,124,70,100%
54,Washita,213,120,110,85,100%
55,Nowata,218,104,137,93,100%
56,Kingfisher,206,129,121,86,100%
57,Love,209,112,103,58,100%
58,Blaine,222,98,116,63,100%
59,Kiowa,247,73,118,64,100%
60,Texas,145,89,53,55,100%
61,Woods,142,72,77,66,100%
62,Tillman,179,55,71,30,67%
63,Coal,137,72,67,37,100%
64,Jefferson,147,45,64,44,100%
65,Greer,129,72,52,47,100%
66,Cotton,128,49,75,38,100%
67,Dewey,89,32,50,41,100%
68,Major,94,35,45,28,100%
69,Roger Mills,77,36,31,35,100%
70,Grant,98,37,34,28,100%
71,Alfalfa,73,31,46,24,100%
72,Ellis,55,23,31,34,100%
73,Harmon,60,25,29,12,100%
74,Harper,57,20,25,21,100%
75,Beaver,42,13,25,12,100%
76,Cimarron,20,8,16,5,100%
