state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
AL,67575,8729,Jefferson,100%,16149,,7311
AL,25916,4113,Madison,100%,10487,,3622
AL,26923,4277,Mobile,100%,6612,,1585
AL,23465,4178,Montgomery,100%,4509,,1484
AL,11825,2175,Tuscaloosa,100%,3552,,1684
AL,9543,1415,Shelby,90%,3795,,1672
AL,7321,1516,Baldwin,100%,2475,,892
AL,7369,1070,Lee,100%,2609,,1218
AL,6236,1070,Dallas,100%,897,,237
AL,4855,881,Calhoun,100%,1506,,457
AL,4127,701,Limestone,100%,1411,,400
AL,4617,917,Talladega,100%,803,,197
AL,3954,917,Morgan,100%,1250,,339
AL,3568,740,Lauderdale,100%,1547,,470
AL,3749,808,Etowah,100%,1048,,258
AL,3912,432,Houston,100%,928,,238
AL,3089,591,Elmore,100%,737,,259
AL,2996,603,Colbert,100%,783,,181
AL,3221,634,Russell,100%,566,,111
AL,3067,654,Macon,100%,481,,166
AL,2268,457,St. Clair,100%,835,,283
AL,2239,427,Autauga,100%,604,,193
AL,2406,433,Lowndes,100%,386,,54
AL,2120,882,Marengo,100%,241,,52
AL,2012,706,Sumter,100%,289,,57
AL,1968,932,Clarke,100%,258,,43
AL,1864,654,Wilcox,100%,284,,62
AL,1581,364,Marshall,100%,777,,190
AL,1835,569,Chambers,100%,285,,61
AL,2094,296,Perry,100%,178,,69
AL,1762,438,Tallapoosa,100%,302,,83
AL,1786,219,Pike,100%,433,,105
AL,1327,950,Hale,100%,175,,44
AL,1899,287,Barbour,100%,202,,57
AL,1262,317,Cullman,100%,633,,173
AL,1597,276,Coffee,100%,433,,118
AL,1214,704,Conecuh,100%,254,,52
AL,1782,406,Greene,100%,191,,21
AL,1716,405,Monroe,100%,205,,38
AL,1390,260,Walker,100%,538,,136
AL,1656,203,Dale,100%,401,,86
AL,1351,440,Choctaw,100%,216,,30
AL,1569,356,Bullock,100%,149,,44
AL,1193,267,DeKalb,100%,571,,114
AL,1451,507,Butler,100%,171,,28
AL,1142,752,Pickens,100%,196,,29
AL,1462,341,Escambia,100%,218,,48
AL,1355,343,Lawrence,100%,256,,68
AL,1039,267,Jackson,100%,403,,89
AL,1109,246,Washington,100%,156,,37
AL,858,168,Chilton,100%,231,,63
