,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Shelby,50273,20482,18183,8461,100%
1,Davidson,32738,25459,12113,14702,100%
2,Knox,14877,14716,6509,6239,100%
3,Hamilton,16286,9423,5554,3636,100%
4,Williamson,10433,4670,3930,2880,100%
5,Rutherford,9102,7800,2832,2515,100%
6,Montgomery,5350,3402,1711,1024,100%
7,Sumner,4996,2874,1708,1201,100%
8,Wilson,3403,1882,1582,907,100%
9,Washington,2828,3094,1039,934,100%
10,Blount,3168,2238,1295,865,100%
11,Sullivan,3146,2251,1014,660,100%
12,Madison,4061,1121,1003,416,100%
13,Anderson,2221,1699,886,702,100%
14,Maury,2363,1343,763,433,100%
15,Bradley,1762,1239,706,360,100%
16,Putnam,1359,1509,631,422,100%
17,Sevier,1536,1148,588,309,100%
18,Robertson,1621,859,652,298,100%
19,Loudon,1288,637,746,244,100%
20,Cumberland,1423,614,643,258,100%
21,Roane,1297,743,557,244,100%
22,Dickson,1195,703,462,262,100%
23,Coffee,1124,671,473,196,100%
24,Franklin,1225,587,435,326,100%
25,Fayette,1534,427,482,119,100%
26,Greene,1116,697,372,241,100%
27,Cheatham,880,759,494,304,100%
28,Marion,1027,419,441,158,100%
29,Tipton,1144,517,460,174,100%
30,Hamblen,994,676,345,144,100%
31,Carter,823,766,344,219,100%
32,Gibson,1272,356,292,82,100%
33,McMinn,952,453,359,159,100%
34,Warren,817,506,412,157,100%
35,Jefferson,862,545,352,186,100%
36,Monroe,863,403,385,104,100%
37,Hawkins,865,481,281,104,100%
38,Bedford,798,446,284,130,100%
39,Hardeman,1103,202,342,44,100%
40,Henry,768,329,361,111,100%
41,Lawrence,803,379,272,89,100%
42,Marshall,672,379,255,122,100%
43,Haywood,848,152,363,42,100%
44,Giles,729,287,250,77,100%
45,Weakley,624,323,192,138,100%
46,Lincoln,648,287,227,112,100%
47,Lauderdale,727,223,245,36,100%
48,Dyer,647,231,259,65,100%
49,Overton,512,281,248,61,100%
50,Rhea,541,266,210,72,100%
51,Cocke,445,324,209,74,100%
52,White,481,274,205,67,100%
53,Campbell,525,255,205,83,100%
54,Smith,391,239,291,73,100%
55,Obion,580,202,145,54,100%
56,Humphreys,455,239,220,56,100%
57,Polk,467,222,176,47,100%
58,Carroll,548,220,162,49,100%
59,Claiborne,444,272,166,67,100%
60,Hickman,417,257,170,84,100%
61,DeKalb,447,203,165,74,100%
62,McNairy,573,153,139,34,100%
63,Hardin,520,153,107,45,100%
64,Benton,402,160,129,41,100%
65,Unicoi,265,283,117,56,100%
66,Henderson,395,157,79,27,100%
67,Cannon,281,182,105,55,100%
68,Stewart,279,148,133,43,100%
69,Sequatchie,270,161,131,50,100%
70,Grainger,268,156,117,48,100%
71,Morgan,236,165,124,56,100%
72,Grundy,265,116,126,55,100%
73,Union,288,159,103,25,100%
74,Johnson,224,177,89,46,100%
75,Chester,296,139,64,53,100%
76,Bledsoe,311,102,85,27,100%
77,Crockett,348,83,74,17,100%
78,Macon,209,161,128,26,100%
79,Fentress,226,130,105,50,100%
80,Meigs,258,101,101,25,100%
81,Jackson,234,139,76,33,100%
82,Lewis,169,192,83,43,100%
83,Decatur,231,89,91,19,100%
84,Trousdale,182,81,111,21,100%
85,Scott,192,108,61,25,100%
86,Houston,197,82,60,28,100%
87,Clay,149,77,65,16,100%
88,Wayne,155,58,62,22,100%
89,Van Buren,132,58,69,24,100%
90,Perry,135,75,55,16,100%
91,Moore,138,51,60,24,100%
92,Pickett,132,48,66,12,100%
93,Lake,133,51,39,8,100%
94,Hancock,68,38,27,3,100%
