,County,Biden,Sanders,Bloomberg,Warren,Rpt.
0,Harris,121211,91900,47200,35761,100%
1,Dallas,93426,62611,31419,22913,100%
2,Travis,52731,83803,18595,49734,100%
3,Bexar,48923,56763,26031,21046,100%
4,Tarrant,58320,47059,18769,14929,100%
5,Collin,29960,25548,11229,9585,100%
6,Fort Bend,29189,18285,10459,6060,100%
7,El Paso,19237,24738,13994,4165,100%
8,Denton,21936,22238,8126,8343,100%
9,Williamson,18097,19272,6811,10285,100%
10,Hidalgo,15744,16560,15682,3840,100%
11,Cameron,7508,10470,6355,1947,100%
12,Webb,5372,9446,5903,1486,100%
13,Montgomery,9932,6458,3734,2830,100%
14,Hays,7028,9772,2119,3852,100%
15,Nueces,8559,5655,4250,1989,100%
16,Galveston,9120,5418,2911,2425,100%
17,Brazoria,8839,5840,3119,2159,100%
18,Jefferson,9768,3974,3777,1077,100%
19,Bell,7793,4774,2434,1693,100%
20,Lubbock,4457,4566,1796,1769,100%
21,Brazos,4090,4740,998,1976,100%
22,McLennan,5359,3079,1677,1652,100%
23,Smith,5338,2615,1818,813,100%
24,Guadalupe,3799,2833,1397,1085,<1%
25,Comal,3620,2411,1393,1296,100%
26,Ellis,4456,2382,1393,745,100%
27,Maverick,1150,2704,1419,425,100%
28,Starr,1048,3159,1257,326,100%
29,Bastrop,2365,2274,1000,998,100%
30,Johnson,2317,1775,934,574,100%
31,Grayson,2365,1542,1015,510,100%
32,Rockwall,2393,1501,785,618,100%
33,Kaufman,2341,1482,814,431,100%
34,Gregg,2856,1089,785,343,100%
35,Parker,2045,1344,801,540,100%
36,Taylor,1925,1380,377,599,100%
37,Zavala,1026,1329,1351,136,100%
38,Randall,1581,1407,623,575,100%
39,Jim Wells,1617,1043,1018,267,100%
40,Wichita,1689,1289,600,434,100%
41,Tom Green,1747,1292,555,414,100%
42,San Patricio,1810,1071,645,329,100%
43,Victoria,1759,970,458,357,100%
44,Dimmit,660,1159,907,145,100%
45,Midland,1495,991,594,421,100%
46,Bowie,2066,700,487,215,100%
47,Hood,1226,711,738,314,100%
48,Potter,1206,1052,517,305,100%
49,Ector,1172,1017,570,344,100%
50,Nacogdoches,1365,982,403,403,100%
51,Harrison,1657,615,608,202,100%
52,Hunt,1281,1015,467,266,100%
53,Angelina,1632,648,465,213,100%
54,Val Verde,826,850,672,237,100%
55,Zapata,822,813,677,134,100%
56,Henderson,1378,589,529,221,100%
57,Willacy,680,900,680,131,100%
58,Caldwell,978,955,431,320,100%
59,Kerr,1049,627,452,349,100%
60,Atascosa,800,736,585,207,100%
61,Walker,1159,688,346,269,100%
62,Orange,1148,573,487,184,100%
63,Waller,1004,863,341,194,100%
64,Burnet,1021,575,429,287,100%
65,Kendall,918,548,432,306,100%
66,Frio,515,695,540,153,100%
67,Uvalde,626,632,591,115,100%
68,Kleberg,946,626,451,162,100%
69,Coryell,977,698,335,215,100%
70,Wilson,847,587,428,225,100%
71,Duval,511,820,505,109,100%
72,Medina,874,558,300,229,100%
73,Van Zandt,870,451,388,141,100%
74,Navarro,889,422,341,112,100%
75,Lamar,862,389,302,137,100%
76,Rusk,1016,282,326,93,100%
77,Wise,641,486,333,155,100%
78,Liberty,787,468,321,120,100%
79,Cherokee,836,297,268,108,100%
80,Washington,670,322,278,137,100%
81,Gillespie,616,300,258,200,100%
82,Polk,559,325,306,173,100%
83,Anderson,753,333,295,69,100%
84,Brooks,289,522,424,65,100%
85,Wharton,606,360,299,80,100%
86,Wood,751,256,217,122,100%
87,Reeves,328,310,345,80,100%
88,Hardin,688,282,222,88,100%
89,Matagorda,676,295,217,89,100%
90,Upshur,705,254,180,70,100%
91,Brewster,343,410,156,245,100%
92,Llano,524,243,243,120,100%
93,Jasper,667,217,262,61,100%
94,Hill,556,284,248,88,100%
95,Chambers,500,337,183,95,100%
96,Jim Hogg,288,343,299,60,100%
97,Fayette,529,228,235,117,100%
98,La Salle,262,291,248,91,100%
99,Cooke,498,308,230,94,100%
100,Hopkins,562,269,203,93,100%
101,Aransas,502,222,176,128,100%
102,Cass,620,202,150,48,100%
103,Bandera,443,281,170,123,100%
104,Erath,375,325,154,142,100%
105,Grimes,503,246,177,90,100%
106,Bee,490,238,173,81,100%
107,Milam,428,270,178,84,100%
108,Blanco,375,240,142,164,100%
109,Austin,460,214,205,54,100%
110,Presidio,173,415,132,103,100%
111,Fannin,411,188,180,79,100%
112,Calhoun,427,191,159,71,100%
113,Colorado,427,167,142,57,100%
114,Titus,432,204,165,46,100%
115,Robertson,475,158,158,41,100%
116,Lampasas,359,181,130,115,100%
117,Palo Pinto,342,204,170,59,100%
118,Pecos,222,218,219,60,100%
119,San Jacinto,456,169,125,57,100%
120,Houston,416,146,113,46,100%
121,Panola,493,129,117,48,100%
122,Howard,297,166,172,71,100%
123,Morris,412,135,132,44,100%
124,Limestone,353,163,153,41,100%
125,Brown,366,183,69,66,100%
126,Burleson,378,122,149,44,100%
127,Falls,349,139,156,43,100%
128,Bosque,293,172,114,69,100%
129,Lee,332,152,113,55,100%
130,Freestone,329,167,106,38,100%
131,Camp,350,120,114,31,100%
132,Hale,242,169,111,47,100%
