,County,Sanders,Biden,Bloomberg,Warren,Rpt.
0,Salt Lake,39791,17595,16849,17560,100%
1,Utah,7769,3955,2630,3977,<1%
2,Davis,6557,3899,3567,3080,100%
3,Weber,4772,2603,2290,1823,100%
4,Washington,2141,2017,1729,1051,100%
5,Summit,1445,1546,1605,960,100%
6,Tooele,870,579,515,323,100%
7,Cache,880,321,355,497,93%
8,Wasatch,594,455,452,260,100%
9,Iron,443,317,217,241,100%
10,Grand,574,208,144,285,100%
11,Box Elder,355,296,295,155,100%
12,Carbon,246,347,247,136,100%
13,Uintah,186,143,122,90,100%
14,San Juan,312,131,143,60,58%
15,Sanpete,180,86,84,78,100%
16,Kane,135,79,64,75,17%
17,Sevier,82,82,83,40,100%
18,Morgan,80,80,62,38,100%
19,Duchesne,74,72,54,43,100%
20,Garfield,77,25,28,55,100%
21,Juab,51,53,64,18,100%
22,Millard,25,54,59,21,100%
23,Emery,43,50,36,15,100%
24,Wayne,43,22,27,34,100%
25,Beaver,28,39,43,14,100%
26,Rich,12,20,7,4,100%
27,Daggett,13,10,7,4,100%
28,Piute,5,5,7,2,100%
