,County,Biden,Sanders,Warren,Bloomberg,Rpt.
0,Fairfax,121862,57085,29633,28191,100%
1,Loudoun,36209,18087,7190,8028,100%
2,Prince William,37412,18407,5721,7019,100%
3,Arlington,33975,13263,14062,6682,100%
4,Henrico,37793,14695,6301,5908,100%
5,Virginia Beach,33515,14610,4468,6463,100%
6,Chesterfield,33401,13416,5585,4810,100%
7,Richmond City,24355,18995,7416,3539,100%
8,Alexandria,20782,7586,7628,4243,100%
9,Chesapeake,22053,6908,2363,2820,100%
10,Norfolk,18856,8102,2736,3058,100%
11,Albemarle,12339,6315,4737,2752,100%
12,Newport News,15602,5279,1638,2252,100%
13,Hampton,15737,4338,1297,1967,100%
14,Stafford,11611,5087,1724,2013,100%
15,Spotsylvania,9243,4002,1327,1729,100%
16,James City,9147,2572,1577,1986,100%
17,Portsmouth,10186,2751,745,1431,100%
18,Hanover,8323,3489,1643,1314,100%
19,Suffolk,10023,2379,735,1241,100%
20,Montgomery,5560,5092,2392,866,100%
21,Charlottesville,4417,4675,3449,874,100%
22,Roanoke City,6820,3483,1510,1159,100%
23,Roanoke,6008,2725,1141,1147,100%
24,York,5637,2005,933,1003,100%
25,Fauquier,5141,2149,924,1210,100%
26,Frederick,4414,2212,805,892,100%
27,Lynchburg,4836,1806,785,773,100%
28,Rockingham,3401,1924,1022,445,100%
29,Bedford,3565,1360,558,718,100%
30,Harrisonburg,2090,2590,1386,248,100%
31,Augusta,3072,1511,622,517,100%
32,Fairfax City,2674,1561,783,666,100%
33,Danville,3879,758,170,462,100%
34,Petersburg,3929,718,190,438,100%
35,Isle of Wight,3482,918,287,481,100%
36,Pittsylvania,3471,815,187,416,100%
37,Culpeper,2642,1203,409,543,100%
38,Manassas,2321,1438,507,510,100%
39,Falls Church,2354,881,906,527,100%
40,Fredericksburg,2124,1259,641,439,100%
41,Franklin,2538,913,299,476,100%
42,Louisa,2521,896,385,457,100%
43,Orange,2222,911,379,479,100%
44,Goochland,2509,692,312,480,100%
45,Staunton,1754,1189,715,246,100%
46,Gloucester,2165,912,354,411,100%
47,Caroline,2537,744,222,323,100%
48,Henry,2697,635,143,298,100%
49,Fluvanna,1991,818,477,357,100%
50,Prince George,2418,636,169,245,100%
51,Williamsburg,1434,1131,625,281,100%
52,Winchester,1666,977,413,320,100%
53,Campbell,2165,646,228,319,100%
54,Shenandoah,1703,880,346,312,100%
55,Warren,1583,900,344,334,100%
56,Accomack,2026,598,173,374,100%
57,Dinwiddie,2366,466,93,235,100%
58,Powhatan,1812,698,272,322,100%
59,Mecklenburg,2111,491,173,292,100%
60,Halifax,2324,465,95,226,100%
61,Washington,1602,820,311,258,100%
62,Botetourt,1673,693,286,318,100%
63,Rockbridge,1569,533,320,311,100%
64,Waynesboro,1320,778,321,203,100%
65,New Kent,1583,477,211,279,100%
66,King George,1451,565,236,263,100%
67,Salem,1312,689,275,238,100%
68,Nelson,1339,560,303,239,100%
69,Amherst,1521,431,195,161,100%
70,Clarke,1209,525,249,275,100%
71,Pulaski,1220,585,192,245,100%
72,Prince Edward,1453,350,230,189,100%
73,Hopewell,1444,350,184,182,100%
74,Westmoreland,1438,345,105,246,100%
75,Greene,916,526,253,190,100%
76,Southampton,1325,285,73,196,100%
77,Lancaster,1212,240,98,253,100%
78,Brunswick,1366,243,50,173,100%
79,Northampton,1150,284,83,227,100%
80,Radford,705,654,240,124,100%
81,Floyd,628,740,231,108,100%
82,King William,1049,330,112,175,100%
83,Manassas Park,765,593,159,141,100%
84,Martinsville,1117,267,54,178,100%
85,Northumberland,1061,178,90,203,100%
86,Carroll,770,425,107,157,100%
87,Buckingham,945,284,78,130,100%
88,Tazewell,749,404,91,95,100%
89,Colonial Heights,716,402,123,130,100%
90,Madison,756,308,151,156,100%
91,Middlesex,863,255,89,149,100%
92,Wythe,656,424,134,114,100%
93,Surry,977,207,49,103,100%
94,Nottoway,884,233,72,119,100%
95,Poquoson,631,355,111,144,100%
96,Rappahannock,676,330,124,133,100%
97,Page,693,325,116,128,100%
98,Sussex,1014,146,21,95,100%
99,Wise,552,469,113,69,100%
100,Franklin City,848,173,49,129,100%
101,Lunenburg,874,171,53,94,100%
102,Charles City,860,169,46,102,100%
103,Essex,852,138,65,118,100%
104,Lexington,565,227,263,106,100%
105,Smyth,629,315,80,85,100%
106,Giles,541,332,113,97,100%
107,Amelia,765,171,46,103,100%
108,Greensville,826,144,24,90,100%
109,Alleghany,586,234,96,103,100%
110,Mathews,608,211,89,133,100%
111,Patrick,550,252,87,121,100%
112,Appomattox,667,220,57,71,100%
113,Bristol,512,325,94,74,100%
114,Cumberland,696,164,57,62,100%
115,Russell,542,291,45,66,100%
116,Charlotte,702,127,43,86,100%
117,King and Queen,551,136,47,66,100%
118,Grayson,425,182,76,60,100%
119,Buchanan,403,143,35,65,100%
120,Richmond,444,81,40,54,100%
121,Scott,324,201,38,37,100%
122,Dickenson,313,178,15,32,100%
123,Emporia,412,67,16,53,100%
124,Lee,308,121,26,31,100%
125,Covington,241,86,27,29,100%
126,Buena Vista,190,87,51,36,100%
127,Bath,187,68,33,41,100%
128,Craig,166,95,40,33,100%
129,Galax,173,82,20,39,100%
130,Bland,139,81,43,24,100%
131,Highland,146,74,38,10,100%
132,Norton,74,52,13,10,100%
