,Town,Sanders,Biden,Warren,Bloomberg,Rpt.
0,Burlington,8950,1875,2302,761,100%
1,South Burlington,3284,1591,891,892,100%
2,Essex,3017,1261,694,629,100%
3,Brattleboro,2200,556,644,175,100%
4,Colchester,1878,806,367,431,100%
5,Montpelier,1728,560,765,193,100%
6,Williston,1264,867,365,379,100%
7,Rutland,1365,840,250,393,100%
8,Shelburne,1051,790,449,431,100%
9,Hartford,1327,771,423,198,100%
10,Bennington,1353,819,286,229,100%
11,Middlebury,947,526,510,238,100%
12,Winooski,1313,280,330,82,100%
13,Milton,1047,460,148,189,100%
14,Waterbury,891,408,228,180,100%
15,Norwich,585,551,409,112,100%
16,Jericho,826,399,274,149,100%
17,Springfield,840,419,129,153,100%
18,Hinesburg,772,328,228,166,100%
19,Charlotte,622,413,268,191,100%
20,Barre Town,720,445,119,166,100%
21,Richmond,774,327,238,114,100%
22,Stowe,595,427,147,259,100%
23,Barre,746,294,154,125,100%
24,Morristown,728,286,131,154,100%
25,St. Albans Town,586,346,78,216,100%
26,St. Johnsbury,621,291,175,132,100%
27,Woodstock,486,329,141,169,100%
28,St. Albans,588,291,86,140,100%
29,Rockingham,667,217,151,67,100%
30,Manchester,431,377,120,147,100%
31,Thetford,466,280,222,54,100%
32,Underhill,550,226,146,89,100%
33,Fairfax,568,234,92,107,100%
34,Bristol,598,164,164,76,100%
35,Randolph,606,187,112,83,100%
36,Rutland Town,353,341,72,131,100%
37,Hartland,442,221,145,97,100%
38,Northfield,469,223,95,104,100%
39,Westminster,540,162,139,50,100%
40,East Montpelier,471,157,192,62,100%
41,Putney,514,128,175,27,100%
42,Cambridge,508,163,65,92,100%
43,Windsor,488,175,101,58,100%
44,Georgia,420,219,59,120,100%
45,Ferrisburg,417,200,89,91,100%
46,Swanton,386,228,36,138,100%
47,Brandon,396,210,75,97,100%
48,Shaftsbury,407,208,79,80,100%
49,Huntington,452,109,136,34,100%
50,Waitsfield,351,165,93,98,100%
51,Castleton,345,192,58,83,100%
52,Vergennes,394,118,96,80,100%
53,Monkton,383,153,73,63,100%
54,Chester,361,180,70,52,100%
55,Dummerston,364,136,127,34,100%
56,Derby,293,192,52,98,100%
